wl	n
0.3200	1.55136690065
0.3628	1.5426838140953
0.4056	1.5365621067347
0.4484	1.5320681423784
0.4912	1.5286563219882
0.5340	1.5259904898035
0.5768	1.5238543686652
0.6196	1.5221036918212
0.6624	1.5206392363912
0.7052	1.5193909431255
0.7480	1.5183082038078
0.7908	1.5173537231709
0.8336	1.5164995272585
0.8764	1.515724301372
0.9192	1.5150115745339
0.9620	1.5143484562369
1.005	1.5137219059563
1.048	1.5131268547301
1.090	1.5125696472333
1.133	1.5120184069078
1.176	1.5114821854668
1.219	1.5109572776026
1.262	1.5104405983056
1.304	1.5099413997622
1.347	1.5094337690228
1.390	1.508927793598
1.433	1.5084218925425
1.476	1.5079147117907
1.518	1.5074169735123
1.561	1.5069039866871
1.604	1.5063866929869
1.647	1.5058643285476
1.690	1.5053362254303
1.732	1.5048143018943
1.775	1.5042731976432
1.818	1.503724806781
1.861	1.5031687244255
1.904	1.5026045908915
1.946	1.5020454971236
1.989	1.5014645386026
2.032	1.5008746717381
2.075	1.5002756659848
2.118	1.4996673139603
2.160	1.4990639077015
2.203	1.4984365477466
2.246	1.4977993361572
2.289	1.497152133945
2.332	1.4964948148166
2.374	1.4958429052604
2.417	1.495165259045
2.460	1.4944771824885
2.503	1.4937785878052
2.546	1.4930693945593
2.588	1.4923663917296
2.631	1.4916360364037
2.674	1.4908948798409
2.717	1.4901428644068
2.760	1.4893799369212
2.802	1.4886241705009
2.845	1.487839531657
2.888	1.4870438450309
2.931	1.4862370715263
2.974	1.4854191748523
3.016	1.4846095285548
3.059	1.4837695472576
3.102	1.4829183491418
3.145	1.4820559069338
3.188	1.4811821951869
3.230	1.4803179000817
3.273	1.4794218429058
3.316	1.4785144498956
3.359	1.4775957015589
3.402	1.4766655796276
3.444	1.475746092102
3.487	1.4747934380753
3.530	1.4738293624619
3.573	1.472853851033
3.616	1.4718668904008
3.658	1.4708918173536
3.701	1.4698821881847
3.744	1.4688610743817
3.787	1.4678284653625
3.830	1.4667843511355
3.872	1.4657534026148
3.915	1.4646865182556
3.958	1.4636081020728
4.001	1.4625181460649
4.044	1.4614166426534
4.086	1.4603296010089
4.129	1.4592052505609
4.172	1.4580693324031
4.215	1.456921840395
4.258	1.4557627687045
4.300	1.4546194679881
4.343	1.4534374901842
4.386	1.4522439169887
4.429	1.451038743626
4.472	1.4498219655492
4.514	1.4486222774501
4.557	1.4473825472731
4.600	1.4461312000756

wl	k
0.32	7.310E-5
0.33	3.341E-5
0.34	1.583E-5
0.35	8.617E-6
0.36	5.081E-6
0.37	4.087E-6
0.38	4.514E-6
0.39	3.321E-6
0.40	3.076E-6
0.41	3.330E-6
0.42	3.586E-6
0.43	3.877E-6
0.44	4.107E-6
0.45	4.230E-6
0.46	4.354E-6
0.47	4.496E-6
0.48	4.606E-6
0.49	4.697E-6
0.50	4.723E-6
0.51	4.686E-6
0.52	4.569E-6
0.53	4.339E-6
0.54	4.095E-6
0.55	3.725E-6
0.56	3.564E-6
0.57	3.750E-6
0.58	3.880E-6
0.59	3.922E-6
0.60	3.953E-6
0.61	3.929E-6
0.62	3.978E-6
0.63	4.169E-6
0.64	4.314E-6
0.65	4.420E-6
0.66	4.451E-6
0.67	4.354E-6
0.68	4.276E-6
0.69	4.194E-6
0.70	4.186E-6
0.71	4.401E-6
0.72	4.628E-6
0.73	4.870E-6
0.74	5.125E-6
0.75	5.395E-6
0.76	5.715E-6
0.77	6.036E-6
0.78	6.355E-6
0.79	6.673E-6
0.80	6.988E-6
0.81	7.290E-6
0.82	7.593E-6
0.83	7.898E-6
0.84	8.202E-6
0.85	8.507E-6
0.86	8.837E-6
0.87	9.155E-6
0.88	9.459E-6
0.89	9.749E-6
0.90	1.002E-5
0.91	1.025E-5
0.92	1.047E-5
0.93	1.069E-5
0.94	1.090E-5
0.95	1.111E-5
0.96	1.132E-5
0.97	1.152E-5
0.98	1.172E-5
0.99	1.191E-5
1.00	1.210E-5
1.10	1.356E-5
1.20	1.454E-5
1.30	1.430E-5
1.40	1.335E-5
1.50	1.161E-5
1.60	1.026E-5
1.70	1.009E-5
1.80	1.058E-5
1.90	1.098E-5
2.00	1.117E-5
2.10	1.118E-5
2.20	1.196E-5
2.30	1.137E-5
2.40	1.150E-5
2.50	1.266E-5
2.60	1.319E-5
2.70	1.657E-5
2.80	9.122E-5
2.90	1.008E-4
3.00	9.488E-5
3.10	9.662E-5
3.20	1.080E-4
3.30	1.190E-4
3.40	1.286E-4
3.50	1.351E-4
3.60	1.345E-4
3.70	1.366E-4
3.80	1.347E-4
3.90	1.341E-4
4.00	1.384E-4
4.10	1.579E-4
4.20	1.868E-4
4.30	2.467E-4
4.40	3.296E-4
4.50	4.623E-4
4.60	1.054E-3
